HomeClub	DateMatch	AwayClub	Sport	TournamentName
Coventry Rugby	2019-02-15 15:00:00.000	Bedford	Rugby League	RFU Championship
Hartpury College	2019-02-15 14:30:00.000	Cornish Pirates	Rugby League	RFU Championship
Nottingham	2019-02-28 19:45:00.000	Doncaster Knights	Rugby League	RFU Championship
Richmond	2019-02-15 15:00:00.000	Doncaster Knights	Rugby League	RFU Championship
Ealing Trailfinders	2019-02-15 15:00:00.000	Leeds Carnegie	Rugby League	RFU Championship
Jersey	2019-02-28 19:45:00.000	Leeds Carnegie	Rugby League	RFU Championship
Pfadi Winterthur	2019-02-13 19:15:00.000	K. Schaffhausen	Handball	MNLA
Wacker Thun	2019-02-12 18:30:00.000	RTV 1879 Basel	Handball	MNLA
HC Kriens-Luzern	2019-02-12 19:00:00.000	BSV Bern Muri	Handball	MNLA
Widnes Vikings	2019-02-15 15:15:00.000	Halifax Blue Sox	Rugby League	Super 8s
Leeds Rhinos	2019-02-14 19:45:00.000	Salford Red Devils	Rugby League	Super 8s
Leeds Rhinos	2019-02-28 19:45:00.000	Toronto Wolfpack	Rugby League	Super 8s
Toronto Wolfpack	2019-02-15 17:30:00.000	Toulouse Olympique XIII	Rugby League	Super 8s
Salford Red Devils	2019-02-27 19:45:00.000	Toulouse Olympique XIII	Rugby League	Super 8s
Hull Kingston Rovers	2019-02-15 18:00:00.000	London Broncos	Rugby League	Super 8s
Regal FC Barcelona	2019-02-27 20:30:00.000	Herbalife Gran Canaria	Basketball	Spagnola ACB
BC River Andorra	2019-02-28 18:15:00.000	UCAM Murcia	Basketball	Spagnola ACB
Unicaja Malaga	2019-02-28 20:30:00.000	Valencia Basket	Basketball	Spagnola ACB
Skuru IK	2019-02-12 18:00:00.000	Hoors HK H 65	Handball	Elitserien
Kristianstad HK	2019-02-13 18:00:00.000	IK Savehof	Handball	Elitserien
BK Heid	2019-02-13 18:30:00.000	Boden Handball IF	Handball	Elitserien
Önnereds HK	2019-02-13 18:00:00.000	Kungälvs HK	Handball	Elitserien
Segeltorps IF	2019-02-26 18:00:00.000	Trangsund	Ice Hockey	HockeyEttan Ostra
Hanvikens SK	2019-02-26 18:00:00.000	Sollentuna HC	Ice Hockey	HockeyEttan Ostra
Hammarby Hockey IF	2019-02-26 18:00:00.000	Enköpings SK HK	Ice Hockey	HockeyEttan Ostra
Hudiksvalls HC	2019-02-26 18:00:00.000	Väsby IK	Ice Hockey	HockeyEttan Ostra
Australia	2019-02-15 11:05:00.000	Argentina	Rugby League	The Rugby Championship
New Zealand	2019-02-15 08:35:00.000	South Africa	Rugby League	The Rugby Championship
Waldkirch St.Gallen	2019-02-22 17:00:00.000	SV Wiler Ersigen	Floorball	National League
Chur Uhc	2019-02-21 19:00:00.000	Kloten-Bülach Jets	Floorball	National League
Grasshopper Club Zurich	2019-02-22 18:00:00.000	HC Rychenberg Winterthur	Floorball	National League
Waldkirch St.Gallen	2019-02-21 19:00:00.000	Floorball Köniz	Floorball	National League
UHC Thun	2019-02-22 18:00:00.000	Floorball Köniz	Floorball	National League
Zug United	2019-02-22 16:00:00.000	UHC Alligator Malans	Floorball	National League
Tigers Langnau	2019-02-22 18:00:00.000	UHC Uster	Floorball	National League
Universitatea Politehnica Timisoara	2019-02-12 16:00:00.000	Potaissa Turda	Handball	Liga Nationala
Cuba	2019-02-17 15:00:00.000	Puerto Rico	Volleyball	FIVB World Championship Men
Iran	2019-02-12 15:00:00.000	Puerto Rico	Volleyball	FIVB World Championship Men
Puerto Rico	2019-02-13 15:00:00.000	Poland	Volleyball	FIVB World Championship Men
Iran	2019-02-17 18:30:00.000	Poland	Volleyball	FIVB World Championship Men
Cuba	2019-02-12 18:30:00.000	Poland	Volleyball	FIVB World Championship Men
Egypt	2019-02-17 15:00:00.000	Netherlands	Volleyball	FIVB World Championship Men
Cameroon	2019-02-12 13:00:00.000	Tunisia	Volleyball	FIVB World Championship Men
Australia	2019-02-17 19:30:00.000	Tunisia	Volleyball	FIVB World Championship Men
Australia	2019-02-12 16:00:00.000	Russia	Volleyball	FIVB World Championship Men
Dominican Republic	2019-02-13 16:00:00.000	Japan	Volleyball	FIVB World Championship Men
Brazil	2019-02-26 16:00:00.000	Russia	Volleyball	FIVB World Championship Men
USA	2019-02-27 16:00:00.000	Russia	Volleyball	FIVB World Championship Men
Cameroon	2019-02-13 19:30:00.000	Serbia	Volleyball	FIVB World Championship Men
Poland	2019-02-27 19:30:00.000	Serbia	Volleyball	FIVB World Championship Men
Italy	2019-02-26 20:15:00.000	Serbia	Volleyball	FIVB World Championship Men
USA	2019-02-12 19:30:00.000	Serbia	Volleyball	FIVB World Championship Men
Argentina	2019-02-17 19:30:00.000	Slovenia	Volleyball	FIVB World Championship Men
Dominican Republic	2019-02-12 16:00:00.000	Slovenia	Volleyball	FIVB World Championship Men
Brazil	2019-02-13 18:30:00.000	France	Volleyball	FIVB World Championship Men
Belgium	2019-02-12 19:30:00.000	Argentina	Volleyball	FIVB World Championship Men
Iran	2019-02-13 18:30:00.000	Bulgaria	Volleyball	FIVB World Championship Men
Russia	2019-02-17 16:00:00.000	Cameroon	Volleyball	FIVB World Championship Men
Egypt	2019-02-13 15:00:00.000	Canada	Volleyball	FIVB World Championship Men
Brazil	2019-02-17 18:30:00.000	Canada	Volleyball	FIVB World Championship Men
Netherlands	2019-02-12 15:00:00.000	Canada	Volleyball	FIVB World Championship Men
Italy	2019-02-13 20:15:00.000	Belgium	Volleyball	FIVB World Championship Men
Brazil	2019-02-12 18:30:00.000	Egypt	Volleyball	FIVB World Championship Men
CCR Fermentoes	2019-02-12 21:30:00.000	FC Porto Vitalis	Handball	1a Divisao
AA Aguas Santas	2019-02-12 21:00:00.000	M - Sporting CP	Handball	1a Divisao
Belgium	2019-02-17 16:00:00.000	Dominican Republic	Volleyball	FIVB World Championship Men
France	2019-02-12 12:00:00.000	China	Volleyball	FIVB World Championship Men
Australia	2019-02-13 16:00:00.000	USA	Volleyball	FIVB World Championship Men
VfL Gummersbach	2019-02-27 18:00:00.000	SC DHFK Leipzig	Handball	Bundesliga
Füchse Berlin	2019-02-13 18:00:00.000	TSV Hannover Burgdorf	Handball	Bundesliga
SG Flensburg-Handewitt	2019-02-27 18:00:00.000	TSV Hannover Burgdorf	Handball	Bundesliga
SG Flensburg-Handewitt	2019-02-13 18:00:00.000	TSG Ludwigshafen-Friesenheim	Handball	Bundesliga
SC Magdeburg	2019-02-13 18:00:00.000	THW Kiel	Handball	Bundesliga
TSG Ludwigshafen-Friesenheim	2019-02-27 18:00:00.000	Lingen - HC Erlangen	Handball	Bundesliga
Lübbecke - TSV GWD Minden	2019-02-13 18:00:00.000	Lingen - HC Erlangen	Handball	Bundesliga
THW Kiel	2019-02-27 18:00:00.000	MT Melsungen	Handball	Bundesliga
HSG Wetzlar	2019-02-13 18:00:00.000	MT Melsungen	Handball	Bundesliga
GKS Katowice	2019-02-25 17:30:00.000	MKS Cracovia Krakow	Ice Hockey	Ekstraliga
TMH Polonia Bytom	2019-02-25 17:00:00.000	KS Stoczniowiec Gdansk	Ice Hockey	Ekstraliga
TH Unia Oswiecim	2019-02-25 17:00:00.000	KH Zaglebie Sosnowiec	Ice Hockey	Ekstraliga
Orlik Opole	2019-02-25 17:30:00.000	TKH Nesta Torun	Ice Hockey	Ekstraliga
JKH GKS Jastrzebie	2019-02-11 15:30:00.000	TMH Polonia Bytom	Ice Hockey	Ekstraliga
JKH GKS Jastrzebie	2019-02-25 17:00:00.000	Gorniczy Klub Sportowy Tychy	Ice Hockey	Ekstraliga
GKS Katowice	2019-02-18 17:30:00.000	Gorniczy Klub Sportowy Tychy	Ice Hockey	Ekstraliga
Newcastle Falcons	2019-02-21 19:45:00.000	Exeter Chiefs	Rugby League	English Premiership
Gloucester Rugby	2019-02-14 19:45:00.000	Bristol Shoguns	Rugby League	English Premiership
AC Fafe	2019-02-26 21:00:00.000	CCR Fermentoes	Handball	1a Divisao
Sport Lisboa Benfica	2019-02-26 21:00:00.000	AA Avanca	Handball	1a Divisao
FC Porto Vitalis	2019-02-26 20:30:00.000	M - Sporting CP	Handball	1a Divisao
Instituto Atletico Central Cordoba	2019-02-28 01:00:00.000	Quimsa Santiago del Estero	Basketball	LNB
Boca Juniors	2019-02-27 00:00:00.000	Obras Sanitarias	Basketball	LNB
Penarol Mar Del Plata	2019-02-27 01:00:00.000	Argentino Junin	Basketball	LNB
Club Deportivo Hispano Americano	2019-02-28 01:00:00.000	Club Atletico San Lorenzo De Almagro	Basketball	LNB
San Martin Corrientes	2019-02-27 01:30:00.000	Estudiantes de Concordia	Basketball	LNB
Comunicaciones	2019-02-25 01:30:00.000	Estudiantes de Concordia	Basketball	LNB
KK Cedevita Zagreb	2019-02-21 17:00:00.000	KK Zadar	Basketball	Liga ABA Super Cup
Crvena Zvezda Telekom	2019-02-21 19:30:00.000	U. Olimpija Ljubljana	Basketball	Liga ABA Super Cup
Team Kiruna	2019-02-27 18:00:00.000	Piteå HC	Ice Hockey	HockeyEttan Norra
Kiruna AIF	2019-02-17 18:00:00.000	Team Kiruna	Ice Hockey	HockeyEttan Norra
Bodens HF	2019-02-26 18:00:00.000	SK Lejon	Ice Hockey	HockeyEttan Norra
CJF Fleury Les Aubrais	2019-02-12 19:30:00.000	OGC Nice Cote D´Azur	Handball	LNH Division 1
Brest Bretagne Handball	2019-02-12 19:30:00.000	Nantes Loire Atlantique HB	Handball	LNH Division 1
Metz Handball	2019-02-12 19:00:00.000	Cercle Dijon Bourgogne	Handball	LNH Division 1
Bourg De Peage	2019-02-12 19:00:00.000	Chambray Touraine	Handball	LNH Division 1
ESBF Besancon	2019-02-12 19:00:00.000	HBC Saint-Amand-les-Eaux Porte du Hainaut	Handball	LNH Division 1
Toulon Saint Cyr Var Handball	2019-02-12 19:00:00.000	Issy Paris	Handball	LNH Division 1
HC La Chaux-de-Fonds	2019-02-26 18:45:00.000	HC Ajoie	Ice Hockey	National League B
Hockey Academy Zug	2019-02-25 18:45:00.000	de-Fonds - HC Biasca	Ice Hockey	National League B
Sheffield Sharks	2019-02-28 19:30:00.000	Surrey Heat	Basketball	BBL
London Lions	2019-02-28 19:30:00.000	Worcester Wolves	Basketball	BBL
IFK Skövde HK	2019-02-12 18:00:00.000	Redbergslids IK	Handball	Elitserien
HK Malmö	2019-02-12 18:00:00.000	Lugi HF	Handball	Elitserien
Alingsås HK	2019-02-11 18:00:00.000	AIK	Handball	Elitserien
IK Savehof	2019-02-26 18:00:00.000	Alingsås HK	Handball	Elitserien
IFK Skövde HK	2019-02-17 18:00:00.000	Alingsås HK	Handball	Elitserien
IK Savehof	2019-02-13 18:15:00.000	Hammarby HB	Handball	Elitserien
Ystads IF HF	2019-02-25 18:00:00.000	Hästö IF	Handball	Elitserien
Lugi HF	2019-02-26 18:00:00.000	IFK Kristianstad	Handball	Elitserien
Ystads IF HF	2019-02-12 18:00:00.000	IFK Kristianstad	Handball	Elitserien
Hästö IF	2019-02-12 18:00:00.000	IFK Ystads HK	Handball	Elitserien
HK Malmö	2019-02-24 18:00:00.000	IFK Ystads HK	Handball	Elitserien
IK Pantern	2019-02-26 18:00:00.000	IK Oskarshamn	Ice Hockey	Hockey Allsvenskan
Almtuna IS	2019-02-26 18:00:00.000	HC Vita Hasten	Ice Hockey	Hockey Allsvenskan
Karlskrona HK	2019-02-26 18:00:00.000	BIK Karlskoga	Ice Hockey	Hockey Allsvenskan
AIK IF	2019-02-25 18:00:00.000	Modo Hockey	Ice Hockey	Hockey Allsvenskan
IF Björklöven	2019-02-26 18:00:00.000	Södertälje SK	Ice Hockey	Hockey Allsvenskan
Leksands IF	2019-02-26 18:00:00.000	Västervik	Ice Hockey	Hockey Allsvenskan
Tingsryds AIF	2019-02-26 18:00:00.000	VIK Vasteraas	Ice Hockey	Hockey Allsvenskan
Hawthorn Hawks	2019-02-14 10:50:00.000	Melbourne Demons	Aussie rules	AFL
Collingwood Magpies	2019-02-15 10:25:00.000	Greater Western Sydney	Aussie rules	AFL
Rödovre FC	2019-02-15 12:00:00.000	Hvidovre Attack	Floorball	UFL
Hvidovre Attack	2019-02-22 13:30:00.000	Benlose FC	Floorball	UFL
Benlose FC	2019-02-15 13:30:00.000	BFC Vendsyssel	Floorball	UFL
Sunds Seahawks FC	2019-02-22 14:00:00.000	Rödovre FC	Floorball	UFL
Copenhagen SFC	2019-02-15 13:30:00.000	Sunds Seahawks FC	Floorball	UFL
Frederikshavn Blackhawks	2019-02-16 14:00:00.000	Vanlose Floorball	Floorball	UFL
Steaua Bucharest	2019-02-13 16:15:00.000	Vojvodina-Univerexport Novi Sad	Handball	SEHA League
HC Croatia Osiguranje Zagreb	2019-02-11 19:45:00.000	Steaua Bucharest	Handball	SEHA League
Steaua Bucharest	2019-02-28 16:15:00.000	HC Meshkov Brest	Handball	SEHA League
Zeleznicar Indjija	2019-02-11 18:00:00.000	HC Meshkov Brest	Handball	SEHA League
1946 St. Petersburg - Kapitan Stupino	2019-02-27 17:00:00.000	HC Taifun	Ice Hockey	MHL
Vityazi Chekhov	2019-02-24 16:00:00.000	HC Taifun	Ice Hockey	MHL
Red Star Kunlun Junior	2019-02-27 12:00:00.000	HK MVD	Ice Hockey	MHL
HK MVD	2019-02-18 17:00:00.000	HK Riga	Ice Hockey	MHL
SKA-Varyagi	2019-02-26 17:00:00.000	HK Riga	Ice Hockey	MHL
SKA-Varyagi	2019-02-25 17:00:00.000	HK Riga	Ice Hockey	MHL
S. Barsy Astana	2019-02-24 14:00:00.000	Irbis Kazan	Ice Hockey	MHL
S. Barsy Astana	2019-02-25 14:00:00.000	Irbis Kazan	Ice Hockey	MHL
Reaktor Nizhnekamsk	2019-02-27 16:00:00.000	Belye Medvedi	Ice Hockey	MHL
